"asset","offset_seconds","depth","threshold_bps","catalog_equivalent_rows","entries","settled_trades","wins","losses","ties","win_rate_pct","roi_pct_at_0_55","pnl_units_at_0_55","break_even_entry_price","wilson_lower_win_rate_pct","z_score","avg_abs_deviation_bps","avg_signed_deviation_bps","trades_per_day","max_drawdown_units","longest_loss_streak","active_months","profitable_active_months","worst_month_roi_pct_at_0_55","best_month_roi_pct_at_0_55","suitability_at_0_55"
"SOL","30","40","25","2","14822","14456","7871","6585","366","54.448","-0.9789","-79.8","0.5445","53.6351","10.6959","50.7709","-2.1084","81.4396","32","10","7","3","-3.6067","0.71","reject"
"SOL","30","40","30","2","11573","11300","6149","5151","273","54.4159","-1.0369","-66","0.5442","53.4963","9.3884","57.3178","-2.5308","63.5879","25","10","7","2","-2.9033","2.3001","reject"
"SOL","30","40","35","2","9176","8984","4873","4111","192","54.2409","-1.3514","-68.2","0.5424","53.2091","8.0393","63.8454","-3.1187","50.4176","28","10","7","2","-5.84","0.6335","reject"
"SOL","30","40","40","2","7431","7283","3962","3321","148","54.4007","-1.068","-43.65","0.544","53.2548","7.5111","70.0543","-3.4778","40.8297","30","10","7","3","-5.0346","1.3009","reject"
"SOL","30","40","45","2","6036","5926","3217","2709","110","54.2862","-1.2742","-42.3","0.5429","53.0155","6.5991","76.457","-4.1728","33.1648","28","10","7","2","-6.0049","5.7803","reject"
"SOL","30","40","50","2","4947","4868","2662","2206","79","54.6836","-0.566","-15.4","0.5468","53.2821","6.5357","82.8708","-4.6345","27.1813","27","10","7","3","-8.9734","3.6623","reject"
"SOL","30","40","55","2","4125","4069","2232","1837","56","54.8538","-0.2623","-5.95","0.5485","53.3208","6.1923","88.9555","-5.0657","22.6648","26","10","7","3","-11.6201","6.3636","reject"
"SOL","30","40","60","2","3466","3422","1891","1531","44","55.2601","0.4669","8.9","0.5526","53.5891","6.1541","94.9465","-5.2197","19.044","25","10","7","5","-9.5601","4.5214","watch_only"
"SOL","30","40","65","2","2904","2870","1586","1284","34","55.2613","0.4696","7.5","0.5526","53.4363","5.6372","101.2469","-5.42","15.956","24","10","7","5","-8.6293","5.1975","watch_only"
"SOL","30","40","70","2","2450","2422","1355","1067","28","55.9455","1.6994","22.9","0.5595","53.9604","5.852","107.5015","-5.4785","13.4615","17","9","7","4","-7.6579","5.749","watch_only"
"SOL","30","40","75","2","2096","2072","1152","920","24","55.5985","1.0756","12.4","0.556","53.4507","5.0967","113.4609","-5.9119","11.5165","19","9","7","3","-12.8788","6.6039","reject"
