"asset","offset_seconds","depth","threshold_bps","catalog_equivalent_rows","entries","settled_trades","wins","losses","ties","win_rate_pct","roi_pct_at_0_55","pnl_units_at_0_55","break_even_entry_price","wilson_lower_win_rate_pct","z_score","avg_abs_deviation_bps","avg_signed_deviation_bps","trades_per_day","max_drawdown_units","longest_loss_streak","active_months","profitable_active_months","worst_month_roi_pct_at_0_55","best_month_roi_pct_at_0_55","suitability_at_0_55"
"BTC","10","30","50","2","1699","1699","948","751","0","55.7975","1.4501","13.55","0.558","53.4256","4.7794","75.2948","-3.4587","9.3352","17","9","7","5","-25.4079","6.4593","watch_only"
"ETH","5","50","40","2","7352","7345","4098","3247","7","55.7931","1.4405","58.25","0.5579","54.6545","9.9296","74.136","-3.6755","40.3956","25","9","7","4","-2.916","6.4701","watch_only"
"SOL","5","30","100","2","711","699","390","309","12","55.794","1.4193","5.55","0.5579","52.0905","3.0637","141.5334","-4.2725","3.9066","9","8","6","3","-3.7794","9.0909","watch_only"
"SOL","5","30","60","2","2589","2560","1428","1132","29","55.7813","1.4045","20","0.5578","53.8501","5.8502","93.5176","-3.6187","14.2253","16","8","7","3","-5.6211","6.2552","reject"
"SOL","5","20","50","2","2549","2517","1404","1113","32","55.7807","1.4016","19.65","0.5578","53.8331","5.8003","77.7478","-1.417","14.0055","32","9","7","6","-10.3482","5.3909","watch_only"
"BTC","5","30","45","2","2184","2184","1218","966","0","55.7692","1.3986","16.8","0.5577","53.6779","5.3923","69.6697","-2.819","12","21","12","7","4","-27.2727","5.4545","watch_only"
"SOL","10","30","65","2","2155","2132","1189","943","23","55.7692","1.3837","16.4","0.5577","53.6525","5.3277","99.2318","-4.2228","11.8407","19","8","7","2","-5.303","5.8878","reject"
"BTC","5","20","30","2","3420","3420","1907","1513","0","55.7602","1.3822","26","0.5576","54.0901","6.7373","48.7794","-1.4009","18.7912","21","10","7","4","-6.1694","8.8965","watch_only"
"SOL","10","40","100","2","1065","1049","585","464","16","55.7674","1.3743","8.05","0.5577","52.7462","3.7359","142.5531","-7.8648","5.8516","12","6","7","3","-13.2231","6.8237","reject"
"BTC","5","60","60","2","2513","2513","1401","1112","0","55.7501","1.3638","18.85","0.5575","53.8008","5.765","91.9666","-5.7016","13.8077","16","9","7","5","-13.7134","3.4588","watch_only"
"ETH","10","20","20","2","10607","10592","5905","4687","15","55.7496","1.361","79.4","0.5575","54.8018","11.8347","39.5332","-1.1901","58.2802","23","10","7","5","-1.2608","12.4456","watch_only"
"ETH","10","50","45","2","6036","6031","3362","2669","5","55.7453","1.354","44.95","0.5575","54.4885","8.9236","80.7169","-4.1334","33.1648","24","9","7","4","-5.805","8.2737","watch_only"
"SOL","5","40","75","2","2136","2113","1178","935","23","55.7501","1.3492","15.85","0.5575","53.6238","5.2864","114.5069","-5.3595","11.7363","13","9","7","2","-7.3897","7.08","reject"
"SOL","30","30","70","2","1758","1740","970","770","18","55.7471","1.3445","13","0.5575","53.4032","4.7946","104.8483","-4.8518","9.6593","21","9","7","4","-7.4014","6.5688","watch_only"
"SOL","5","20","55","2","2060","2036","1135","901","24","55.7466","1.3416","15.2","0.5575","53.5803","5.1859","83.7889","-1.1172","11.3187","15","6","7","4","-8.0327","6.7194","watch_only"
"SOL","30","20","50","2","2423","2393","1334","1059","30","55.7459","1.3394","17.85","0.5575","53.7482","5.6216","77.1776","-2.0655","13.3132","27","7","7","4","-8.3838","5.6448","watch_only"
"BTC","5","40","40","2","3827","3827","2133","1694","0","55.7356","1.3374","28.15","0.5574","54.1569","7.0964","64.97","-3.1292","21.0275","19","9","7","4","-8.1537","4.4104","watch_only"
"BTC","30","60","45","2","4391","4391","2447","1944","0","55.7276","1.323","31.95","0.5573","54.2541","7.5908","73.8096","-4.299","24.1264","18","9","7","5","-4.6921","3.8961","watch_only"
