rank,asset,offset_seconds,depth,threshold_bps,catalog_equivalent_rows,settled_trades,win_rate_pct,roi_pct_at_0_50,break_even_entry_price,roi_pct_at_0_52,wilson_lower_win_rate_pct,z_score,active_months,profitable_active_months,suitability
148,ETH,30,30,30,2,7626,55.573,11.1329,0.5557,6.8712,54.4553,9.7335,7,7,"research_candidate"
149,BTC,10,50,55,2,2439,55.5556,11.1111,0.5556,6.8376,53.5763,5.4874,7,6,"research_candidate"
150,ETH,10,40,35,2,7570,55.5614,11.1096,0.5556,6.8489,54.4395,9.6775,7,7,"research_candidate"
151,ETH,10,10,15,2,9941,55.5578,11.1022,0.5556,6.8419,54.579,11.0827,7,7,"research_candidate"
152,ETH,10,20,45,2,2621,55.5513,11.0984,0.5555,6.8295,53.6422,5.6841,7,6,"research_candidate"
153,ETH,10,40,30,2,9501,55.552,11.0901,0.5555,6.8309,54.5508,10.8235,7,7,"research_candidate"
154,ETH,5,60,55,2,5154,55.5491,11.0896,0.5555,6.8252,54.1888,7.9675,7,7,"research_candidate"
155,ETH,5,20,25,2,7687,55.5483,11.0851,0.5555,6.8237,54.435,9.7291,7,7,"research_candidate"
156,BTC,30,10,40,2,713,55.54,11.0799,0.5554,6.8076,51.8724,2.9586,6,6,"research_candidate"
157,BTC,10,20,30,2,3412,55.5393,11.0785,0.5554,6.8063,53.8666,6.4712,7,7,"research_candidate"
158,BTC,30,70,45,2,5166,55.5362,11.0724,0.5554,6.8004,54.1775,7.9583,7,7,"research_candidate"
159,SOL,30,40,75,2,2072,55.5985,11.0687,0.556,6.9201,53.4507,5.0967,7,6,"research_candidate"
160,SOL,10,30,60,2,2542,55.5862,11.0506,0.5559,6.8964,53.6476,5.6329,7,7,"research_candidate"
161,SOL,5,40,65,2,2934,55.5896,11.0438,0.5559,6.9032,53.7856,6.0554,7,7,"research_candidate"
162,BTC,5,40,55,2,1929,55.521,11.042,0.5552,6.7711,53.2945,4.8497,7,6,"research_candidate"
163,ETH,10,60,60,2,4357,55.5199,11.0346,0.5552,6.7689,54.04,7.287,7,7,"research_candidate"
164,BTC,30,70,60,2,2866,55.5129,11.0258,0.5551,6.7556,53.6873,5.9027,7,6,"research_candidate"
165,ETH,5,30,25,2,10177,55.5173,11.0228,0.5552,6.7641,54.5499,11.1319,7,7,"research_candidate"
166,ETH,5,40,25,2,12317,55.5168,11.0156,0.5552,6.763,54.6375,12.2452,7,7,"research_candidate"
167,BTC,5,30,50,2,1735,55.5043,11.0086,0.555,6.7391,53.1563,4.5855,7,6,"research_candidate"
168,ETH,30,60,50,2,5938,55.5069,11.0082,0.5551,6.744,54.2397,8.4871,7,7,"research_candidate"
