"asset_symbol","market_start_utc","sampled_at_utc","counter_start_market_start_utc","up_count","down_count","diff","processed_market_count"
"ETH","2026-06-08T12:00:00Z","2026-06-08T12:09:55.950Z","2026-06-08T11:55:00Z","0","0","0","0"
"SOL","2026-06-08T12:00:00Z","2026-06-08T12:09:55.950Z","2026-06-08T11:55:00Z","0","0","0","0"
"BTC","2026-06-08T12:05:00Z","2026-06-08T12:14:52.821Z","2026-06-08T11:55:00Z","0","0","0","0"
"ETH","2026-06-08T12:05:00Z","2026-06-08T12:14:52.821Z","2026-06-08T11:55:00Z","0","0","0","0"
"SOL","2026-06-08T12:05:00Z","2026-06-08T12:14:52.821Z","2026-06-08T11:55:00Z","0","0","0","0"
"BTC","2026-06-08T12:10:00Z","2026-06-08T12:19:39.674Z","2026-06-08T11:55:00Z","0","0","0","0"
"ETH","2026-06-08T12:10:00Z","2026-06-08T12:19:39.674Z","2026-06-08T11:55:00Z","0","0","0","0"
"SOL","2026-06-08T12:10:00Z","2026-06-08T12:19:39.674Z","2026-06-08T11:55:00Z","0","0","0","0"
"BTC","2026-06-08T12:15:00Z","2026-06-08T12:24:54.467Z","2026-06-08T11:55:00Z","0","0","0","0"
"ETH","2026-06-08T12:15:00Z","2026-06-08T12:24:54.467Z","2026-06-08T11:55:00Z","0","0","0","0"
"SOL","2026-06-08T12:15:00Z","2026-06-08T12:24:54.467Z","2026-06-08T11:55:00Z","0","0","0","0"
"BTC","2026-06-08T12:20:00Z","2026-06-08T12:29:54.057Z","2026-06-08T11:55:00Z","0","0","0","0"
"ETH","2026-06-08T12:20:00Z","2026-06-08T12:29:54.057Z","2026-06-08T11:55:00Z","0","0","0","0"
"SOL","2026-06-08T12:20:00Z","2026-06-08T12:29:54.057Z","2026-06-08T11:55:00Z","0","0","0","0"
"BTC","2026-06-08T12:30:00Z","2026-06-08T12:35:24.968Z","2026-06-08T11:55:00Z","0","0","0","0"
"ETH","2026-06-08T12:30:00Z","2026-06-08T12:35:24.968Z","2026-06-08T11:55:00Z","0","0","0","0"
"SOL","2026-06-08T12:30:00Z","2026-06-08T12:35:24.968Z","2026-06-08T11:55:00Z","0","0","0","0"
"BTC","2026-06-08T12:35:00Z","2026-06-08T12:41:00.736Z","2026-06-08T11:55:00Z","0","0","0","0"
"ETH","2026-06-08T12:35:00Z","2026-06-08T12:41:00.736Z","2026-06-08T11:55:00Z","0","0","0","0"
"SOL","2026-06-08T12:35:00Z","2026-06-08T12:41:00.736Z","2026-06-08T11:55:00Z","0","0","0","0"
"BTC","2026-06-08T12:40:00Z","2026-06-08T12:47:43.185Z","2026-06-08T11:55:00Z","0","0","0","0"
"ETH","2026-06-08T12:40:00Z","2026-06-08T12:47:43.185Z","2026-06-08T11:55:00Z","0","0","0","0"
"SOL","2026-06-08T12:40:00Z","2026-06-08T12:47:43.185Z","2026-06-08T11:55:00Z","0","0","0","0"
"BTC","2026-06-08T12:45:00Z","2026-06-08T12:51:23.044Z","2026-06-08T11:55:00Z","0","0","0","0"
"ETH","2026-06-08T12:45:00Z","2026-06-08T12:51:23.044Z","2026-06-08T11:55:00Z","0","0","0","0"
"SOL","2026-06-08T12:45:00Z","2026-06-08T12:51:23.044Z","2026-06-08T11:55:00Z","0","0","0","0"
"BTC","2026-06-08T12:50:00Z","2026-06-08T12:59:58.249Z","2026-06-08T12:55:00Z","0","0","0","0"
"ETH","2026-06-08T12:50:00Z","2026-06-08T12:59:58.249Z","2026-06-08T12:55:00Z","0","0","0","0"
"SOL","2026-06-08T12:50:00Z","2026-06-08T12:59:58.249Z","2026-06-08T12:55:00Z","0","0","0","0"
"BTC","2026-06-08T12:55:00Z","2026-06-08T13:04:57.094Z","2026-06-08T12:55:00Z","0","0","0","0"
"ETH","2026-06-08T12:55:00Z","2026-06-08T13:04:57.094Z","2026-06-08T12:55:00Z","0","0","0","0"
"SOL","2026-06-08T12:55:00Z","2026-06-08T13:04:57.094Z","2026-06-08T12:55:00Z","0","0","0","0"
"BTC","2026-06-08T13:00:00Z","2026-06-08T13:09:54.878Z","2026-06-08T12:55:00Z","0","0","0","0"
"ETH","2026-06-08T13:00:00Z","2026-06-08T13:09:54.878Z","2026-06-08T12:55:00Z","0","0","0","0"
"SOL","2026-06-08T13:00:00Z","2026-06-08T13:09:54.878Z","2026-06-08T12:55:00Z","0","0","0","0"
"BTC","2026-06-08T13:05:00Z","2026-06-08T13:14:49.284Z","2026-06-08T12:55:00Z","0","0","0","0"
"ETH","2026-06-08T13:05:00Z","2026-06-08T13:14:49.284Z","2026-06-08T12:55:00Z","0","0","0","0"
"SOL","2026-06-08T13:05:00Z","2026-06-08T13:14:49.284Z","2026-06-08T12:55:00Z","0","0","0","0"
"BTC","2026-06-08T13:10:00Z","2026-06-08T13:19:23.022Z","2026-06-08T12:55:00Z","0","0","0","0"
"ETH","2026-06-08T13:10:00Z","2026-06-08T13:19:23.022Z","2026-06-08T12:55:00Z","0","0","0","0"
"SOL","2026-06-08T13:10:00Z","2026-06-08T13:19:23.022Z","2026-06-08T12:55:00Z","0","0","0","0"
"BTC","2026-06-08T13:15:00Z","2026-06-08T13:24:58.442Z","2026-06-08T12:55:00Z","0","0","0","0"
"ETH","2026-06-08T13:15:00Z","2026-06-08T13:24:58.442Z","2026-06-08T12:55:00Z","0","0","0","0"
"SOL","2026-06-08T13:15:00Z","2026-06-08T13:24:58.442Z","2026-06-08T12:55:00Z","0","0","0","0"
"BTC","2026-06-08T13:20:00Z","2026-06-08T13:29:58.015Z","2026-06-08T12:55:00Z","0","0","0","0"
"ETH","2026-06-08T13:20:00Z","2026-06-08T13:29:58.015Z","2026-06-08T12:55:00Z","0","0","0","0"
"SOL","2026-06-08T13:20:00Z","2026-06-08T13:29:58.015Z","2026-06-08T12:55:00Z","0","0","0","0"
"BTC","2026-06-08T13:25:00Z","2026-06-08T13:34:53.713Z","2026-06-08T12:55:00Z","0","0","0","0"
"ETH","2026-06-08T13:25:00Z","2026-06-08T13:34:53.713Z","2026-06-08T12:55:00Z","0","0","0","0"
"SOL","2026-06-08T13:25:00Z","2026-06-08T13:34:53.713Z","2026-06-08T12:55:00Z","0","0","0","0"
"BTC","2026-06-08T13:30:00Z","2026-06-08T13:39:59.001Z","2026-06-08T12:55:00Z","0","0","0","0"
"ETH","2026-06-08T13:30:00Z","2026-06-08T13:39:59.001Z","2026-06-08T12:55:00Z","0","0","0","0"
"SOL","2026-06-08T13:30:00Z","2026-06-08T13:39:59.001Z","2026-06-08T12:55:00Z","0","0","0","0"
"BTC","2026-06-08T13:35:00Z","2026-06-08T13:44:51.310Z","2026-06-08T12:55:00Z","0","0","0","0"
"ETH","2026-06-08T13:35:00Z","2026-06-08T13:44:51.310Z","2026-06-08T12:55:00Z","0","0","0","0"
"SOL","2026-06-08T13:35:00Z","2026-06-08T13:44:51.310Z","2026-06-08T12:55:00Z","0","0","0","0"
"BTC","2026-06-08T13:40:00Z","2026-06-08T13:49:36.407Z","2026-06-08T12:55:00Z","0","0","0","0"
"ETH","2026-06-08T13:40:00Z","2026-06-08T13:49:36.407Z","2026-06-08T12:55:00Z","0","0","0","0"
"SOL","2026-06-08T13:40:00Z","2026-06-08T13:49:36.407Z","2026-06-08T12:55:00Z","0","0","0","0"
"BTC","2026-06-08T13:45:00Z","2026-06-08T13:54:47.700Z","2026-06-08T12:55:00Z","0","0","0","0"
"ETH","2026-06-08T13:45:00Z","2026-06-08T13:54:47.700Z","2026-06-08T12:55:00Z","0","0","0","0"
"SOL","2026-06-08T13:45:00Z","2026-06-08T13:54:47.700Z","2026-06-08T12:55:00Z","0","0","0","0"
"BTC","2026-06-08T13:50:00Z","2026-06-08T13:59:48.309Z","2026-06-08T12:55:00Z","0","0","0","0"
"ETH","2026-06-08T13:50:00Z","2026-06-08T13:59:48.309Z","2026-06-08T12:55:00Z","0","0","0","0"
"SOL","2026-06-08T13:50:00Z","2026-06-08T13:59:48.309Z","2026-06-08T12:55:00Z","0","0","0","0"
"BTC","2026-06-08T13:55:00Z","2026-06-08T14:04:51.676Z","2026-06-08T12:55:00Z","0","0","0","0"
