asset,strategy_name,trigger_side,target_outcome,threshold,markets_evaluated,betting_episodes,entries,settled_entries,flat_entries,wins,losses,win_rate_pct,total_stake_units,settled_stake_units,pnl_units,roi_pct,avg_stake_units,max_multiplier,capped_entries,max_drawdown_units,active_days,positive_days,negative_days,flat_days,first_entry_utc,last_entry_utc
"BTC","BTC Up or Down 5m 24 Diff Up Progress","Up","Down",24,52230,71,939,937,2,465,472,49.62646745,5401,5390,14,0.25974026,5.75186368,10,182,249,18,12,6,0,"2025-12-30T09:55:00.0000000+00:00","2026-06-13T22:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 44 Diff Up Progress","Up","Down",44,52230,7,19,19,0,13,6,68.42105263,31,31,13,41.93548387,1.63157895,3,0,3,1,1,0,0,"2026-04-17T21:05:00.0000000+00:00","2026-04-17T23:05:00.0000000+00:00"
"BTC","BTC Up or Down 5m 41 Diff Down Progress","Down","Up",41,52230,7,44,44,0,23,21,52.27272727,155,155,13,8.38709677,3.52272727,9,0,32,1,1,0,0,"2026-06-02T15:40:00.0000000+00:00","2026-06-02T23:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 42 Diff Down Progress","Down","Up",42,52230,6,32,32,0,17,15,53.125,111,111,11,9.90990991,3.46875,8,0,25,1,1,0,0,"2026-06-02T15:55:00.0000000+00:00","2026-06-02T23:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 43 Diff Down Progress","Down","Up",43,52230,4,23,23,0,12,11,52.17391304,79,79,9,11.39240506,3.43478261,7,0,18,1,1,0,0,"2026-06-02T19:30:00.0000000+00:00","2026-06-02T23:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 45 Diff Down Progress","Down","Up",45,52230,2,14,14,0,8,6,57.14285714,38,38,8,21.05263158,2.71428571,5,0,9,1,1,0,0,"2026-06-02T22:40:00.0000000+00:00","2026-06-02T23:50:00.0000000+00:00"
"BTC","BTC Up or Down 5m 44 Diff Down Progress","Down","Up",44,52230,2,18,18,0,9,9,50,56,56,8,14.28571429,3.11111111,6,0,13,1,1,0,0,"2026-06-02T19:35:00.0000000+00:00","2026-06-02T23:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 23 Diff Up Progress","Up","Down",23,52230,85,1087,1084,3,541,543,49.90774908,6279,6266,8,0.12767316,5.77644894,10,209,266,21,15,6,0,"2025-12-30T08:20:00.0000000+00:00","2026-06-13T23:20:00.0000000+00:00"
"BTC","BTC Up or Down 5m 45 Diff Up Progress","Up","Down",45,52230,3,9,9,0,6,3,66.66666667,12,12,6,50,1.33333333,2,0,1,1,1,0,0,"2026-04-17T21:30:00.0000000+00:00","2026-04-17T23:00:00.0000000+00:00"
"BTC","BTC Up or Down 5m 46 Diff Down Progress","Down","Up",46,52230,1,11,11,0,6,5,54.54545455,24,24,6,25,2.18181818,4,0,6,1,1,0,0,"2026-06-02T22:55:00.0000000+00:00","2026-06-02T23:45:00.0000000+00:00"
