offset_seconds,threshold_bps,entries,settled_trades,wins,losses,ties,win_rate_pct,roi_pct,pnl_units,wilson_lower_win_rate_pct,z_score,avg_prev_move_bps,avg_current_move_bps,trades_per_day,max_drawdown_units,longest_loss_streak,active_months,profitable_active_months,worst_month_roi_pct,best_month_roi_pct,suitability
15,50,667,666,360,306,1,54.0541,8.096,54,50.2567,2.0925,77.2092,1.1892,3.6648,17,8,6,6,2.5641,14.5833,"research_candidate"
20,1,23978,23899,12219,11680,79,51.1277,2.2479,539,50.4938,3.4866,12.5023,-0.0058,131.7473,67,12,7,7,0.7629,4.7728,"watch_only"
20,2,21848,21780,11145,10635,68,51.1708,2.3343,510,50.5068,3.4557,13.5762,0.0376,120.044,77,14,7,6,-1.6752,5.3307,"watch_only"
20,3,19823,19765,10128,9637,58,51.2421,2.4769,491,50.5451,3.4925,14.7078,0.0443,108.9176,73,13,7,6,-0.7732,5.8355,"watch_only"
20,4,17940,17890,9182,8708,50,51.3248,2.6421,474,50.5921,3.5438,15.8849,0.0394,98.5714,84,11,7,6,-0.1026,5.8474,"watch_only"
20,5,16165,16125,8305,7820,40,51.5039,3.0003,485,50.7322,3.8194,17.1358,-0.008,88.8187,77,11,7,7,0.116,7.0614,"research_candidate"
20,6,14632,14596,7558,7038,36,51.7813,3.5539,520,50.9703,4.3041,18.3557,-0.0454,80.3956,78,10,7,6,-0.1312,8.7566,"research_candidate"
20,7,13179,13149,6856,6293,30,52.1408,4.2719,563,51.2865,4.9098,19.6639,-0.1291,72.4121,59,11,7,7,0.7226,9.1667,"research_candidate"
20,8,11910,11885,6213,5672,25,52.276,4.5424,541,51.3774,4.9625,20.9607,-0.1116,65.4396,67,10,7,7,1.0471,9.3232,"research_candidate"
20,9,10762,10738,5635,5103,24,52.4772,4.9433,532,51.5319,5.1339,22.291,-0.1421,59.1319,60,10,7,7,0.4785,9.3023,"research_candidate"
20,10,9759,9738,5145,4593,21,52.8343,5.6563,552,51.8418,5.5938,23.6066,-0.2426,53.6209,47,9,7,7,1.1899,9.1429,"research_candidate"
20,11,8814,8796,4686,4110,18,53.2742,6.5351,576,52.2303,6.1416,25.0124,-0.356,48.4286,36,11,7,7,2.5626,9.0026,"research_candidate"
